rank,feature,loading,abs_loading
1,A42,-0.3318470618757261,0.3318470618757261
2,A31,-0.32471219044977895,0.32471219044977895
3,A63,-0.2823961201922678,0.2823961201922678
4,A27,0.22725067891179118,0.22725067891179118
5,A28,-0.21091567313576196,0.21091567313576196
6,A20,-0.19922123991261725,0.19922123991261725
7,A41,0.19765139792436703,0.19765139792436703
8,A59,-0.19679172329854053,0.19679172329854053
9,A61,0.19408706721402846,0.19408706721402846
10,A23,-0.18861781761857835,0.18861781761857835
11,A02,0.17895818186236676,0.17895818186236676
12,A45,-0.16420073722534928,0.16420073722534928
13,A19,-0.1457417820277552,0.1457417820277552
14,A49,-0.14447458957498818,0.14447458957498818
15,A52,0.14443048369025446,0.14443048369025446
16,A53,0.13698573181746448,0.13698573181746448
17,A21,-0.13672787664121788,0.13672787664121788
18,A25,0.12822196086295345,0.12822196086295345
19,A57,-0.12563724818697658,0.12563724818697658
20,A17,0.12306469613183017,0.12306469613183017
21,A58,-0.12157231678985331,0.12157231678985331
22,A43,0.11616442786509508,0.11616442786509508
23,A06,-0.11492516192065078,0.11492516192065078
24,A34,0.11245318112315071,0.11245318112315071
25,A51,-0.11083306105355765,0.11083306105355765
26,A30,0.10939075676706096,0.10939075676706096
27,A03,0.09640306240399059,0.09640306240399059
28,A26,0.09564718886470108,0.09564718886470108
29,A05,-0.0947777062611643,0.0947777062611643
30,A09,-0.09360876556094416,0.09360876556094416
