feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A40,0.27547383835442374,-0.031887225088494627,-0.15034398096470164,-0.138030680204382,0.018925986840766962,0.08738943510398742,-0.08017033828290303,-0.32288194706265494,-0.14039767945065132,-0.12509334589289942
A41,-0.16999321536754516,0.19765139792436703,-0.17242314958789196,0.05432820747892124,-0.01912776288957051,-0.03512951613679262,-0.16827988466825186,0.2911462035384703,-0.041542018219318015,0.07983731415211287
A42,-0.0030663266971047505,-0.3318470618757261,-0.06877059625423418,-0.17317924858398667,0.09560419056425358,0.15847839841296285,-0.14900518719069852,-0.0079167947843481,-0.03128337091386302,-0.03800296891088484
A43,0.03442156305540858,0.11616442786509508,0.2739655441540611,-0.14575706156565835,-0.15607836278805481,0.25667585722628256,0.10245149134238124,0.03610354107145335,-0.04850585628339672,0.14824969846948052
A44,-0.3291806667479192,0.04049412303213163,0.0710760270510889,0.18269717811158956,0.08573918953394817,0.14116457436997776,0.14195245752986296,-0.14747953844368678,-0.0720224101357093,-0.1396693891387977
A45,0.19900289350600628,-0.16420073722534928,-0.07929333354162726,0.026347058751856875,0.034689625730362945,0.002251274525441417,0.0880745200379322,0.036600015649911076,0.051435539271746884,-0.127149330407777
A46,0.0863838131890379,0.06802049655409623,-0.06115562175370659,0.07894293774969913,0.11986100224934684,-0.09801048472589788,-0.1375120763585414,0.08242478756475474,-0.09805177927516665,-0.29404417920555675
A47,0.11952053506015674,-0.029258971408992706,0.0914670693561907,-0.04508535017426883,-0.09712583920416419,-0.1177827845287984,0.17011934576837373,0.13089336039099653,0.11094919479763563,-0.2652924990143734
A48,0.077417350782674,-0.034038147860093654,-0.1571731574714389,-0.17589627504130817,0.07883851918558442,0.12273446880270263,-0.12208879489125675,0.07794528177307873,-0.11032598194166261,-0.0993894627308713
A49,0.005347612399341443,-0.14447458957498818,0.037825511892344066,-0.17303919187895195,0.12115630197646043,-0.008462021005950714,0.08252074249509926,-0.05320551140682822,-0.017491090809023786,-0.005180129924204737
A50,-0.04627697101766341,0.03302312188858235,0.22929255300955362,0.1032714726210034,0.05418246327107039,-0.0953199371001207,-0.07581868732033843,0.007118499231350966,-0.033835711906994984,-0.06247701656808357
A51,0.03532899591746584,-0.11083306105355765,-0.14541720662530694,0.3389394748033619,-0.06546211157286004,-0.04358528256394994,0.03728873489688754,0.19480885283409524,-0.16755547483038635,0.0700203438425787
A52,0.15457941574799205,0.14443048369025446,-0.06277141447610834,-0.012101075193688372,0.11994624046839097,-0.12988146831790953,0.04149522766657301,0.04710011951340978,-0.002659040551069233,0.011838989001423732
A53,-0.07999764352603617,0.13698573181746448,-0.008089646532524463,-0.07798194581140966,-0.18089134894534484,0.03941525567055204,-0.05724606363563841,0.08205202007752557,0.07864215572038652,0.0150797171871108
A54,0.1394169464864109,0.062482054284380875,-0.07748236693541054,-0.12588723201583038,-0.06824396330826642,-0.15675349341286005,0.054132711185006635,0.02732529031316004,-0.13300122789150248,-0.06536508542412768
A55,0.11431164639443239,0.06941051546762839,0.0601095047108454,-0.068843973045826,-0.15484788854441345,0.03644205835755198,-0.13079390411281017,0.26089621383801237,-0.14317329292062875,-0.03153305073923504
A56,-0.0037084091340636198,0.04388394439073964,-0.0018031430288185236,-0.17863693243472464,0.025044620803531096,-0.08130817800168934,0.04431689328671919,-0.025337525767738317,-0.04285661197267278,0.11699255367836117
A57,0.037198310059016075,-0.12563724818697658,0.015113019923267077,-0.027808517891459817,0.04128090156902811,-0.05939211975607646,0.028094292456181676,-0.04953632475555259,-0.03557149298868858,0.03721085337256128
A58,-0.045411882221844675,-0.12157231678985331,0.029081334925515987,-0.06583964136475139,0.0821844797373498,0.06880391815622704,0.002921748604756211,0.0038623398732282816,0.07261802786364498,-0.2532090382459976
A59,-0.27814544034677596,-0.19679172329854053,-0.05927838209254943,-0.19663851208749666,-0.017266561517840496,-0.034456984673990734,0.02867688744082137,0.05840550336973053,-0.1236276542601444,-0.21529320385551584
A60,-0.02867190272171006,-0.07818846650491593,-0.0777644655794865,-0.017295719707129977,-0.020938426495120743,0.1650828964662393,0.10168419391734958,-0.09318782967052114,-0.19049333184954986,0.07151591331308865
A61,-0.104174799717158,0.19408706721402846,-0.003243325570630403,-0.0724067734480393,-0.051988828145792816,-0.12361524312379407,-0.19685742130269274,-0.2949591848128149,-0.17842594871053497,-0.12356162009256708
A62,-0.015267433210037928,-0.035351220254256854,0.026646094098477513,0.05626276266505388,0.015025499680951824,-0.04430101940876537,-0.10428600849888,-0.2252522084155372,0.05759160223563084,-0.08824486845091087
A63,0.08439164588289282,-0.2823961201922678,0.12918565487212907,0.18496092277796433,0.0481382119578459,-0.017054021783735895,-0.41158688843106783,-0.1749441847929106,0.05951237650338184,0.09352277252640338
