rank,feature,loading,abs_loading
1,A31,0.2802003659596408,0.2802003659596408
2,A30,-0.25106145790693835,0.25106145790693835
3,A25,-0.24422583090176286,0.24422583090176286
4,A27,-0.24416651426577884,0.24416651426577884
5,A63,0.23534392158545878,0.23534392158545878
6,A40,-0.23448873704884385,0.23448873704884385
7,A03,-0.22310050457148584,0.22310050457148584
8,A22,-0.19861284290917777,0.19861284290917777
9,A24,-0.19463090311585976,0.19463090311585976
10,A12,0.18603599385471548,0.18603599385471548
11,A21,0.16884338652433928,0.16884338652433928
12,A29,-0.16773705989170817,0.16773705989170817
13,A28,-0.16669720198928126,0.16669720198928126
14,A17,-0.16194430312686872,0.16194430312686872
15,A52,-0.1589366588447131,0.1589366588447131
16,A10,0.15479372283787643,0.15479372283787643
17,A43,0.14803714004543275,0.14803714004543275
18,A50,0.13729036955440083,0.13729036955440083
19,A09,0.13438105853980048,0.13438105853980048
20,A33,-0.13379835001760781,0.13379835001760781
21,A46,-0.12999131940748856,0.12999131940748856
22,A36,0.12890478128497015,0.12890478128497015
23,A48,-0.12493980902425927,0.12493980902425927
24,A39,-0.12207099873391666,0.12207099873391666
25,A47,0.11747646375562104,0.11747646375562104
26,A38,0.11666465613730811,0.11666465613730811
27,A32,-0.10853071325226654,0.10853071325226654
28,A23,0.10776161843847873,0.10776161843847873
29,A61,-0.10310785653907159,0.10310785653907159
30,A02,-0.10199566809694045,0.10199566809694045
