dataset,2019_eu,2019_native,2019_test,2020_eu,2020_native,2020_test,2021_eu,2021_native,2021_test,2022_eu,2022_native,2022_test,2023_eu,2023_native,2023_test
2019_eu,1.0,-0.31201919402637834,0.03708316303561343,0.9742346226116932,-0.47282323001452387,-0.8861434504803292,0.9916454112385149,-0.31217531136757826,-0.8933164921063887,0.9936677212319304,-0.4416042120536292,-0.2981912314557895,0.990650408879899,-0.572027621033071,-0.9216914971799994
2019_native,-0.31201919402637834,1.0,0.4126711258349971,-0.43339311902805466,0.9211208145179848,-0.08191442474260668,-0.3812456767185948,0.8549164953697698,-0.11186660886673705,-0.37483997267761726,0.8573076076231639,0.41970799730683694,-0.37287754588307065,0.6923054754286482,0.06181371606088171
2019_test,0.03708316303561343,0.4126711258349971,0.9999999999999998,-0.18433310584664309,0.12169439982919839,-0.27086927611674705,-0.08433021128281282,0.05710790321809789,-0.3045608449382049,-0.07285454776695022,-0.00456120219087075,0.8630664156172128,-0.09931050332133928,-0.3222736325742277,-0.3743543441422519
2020_eu,0.9742346226116932,-0.43339311902805466,-0.18433310584664309,1.0,-0.5303440443587433,-0.794283365152624,0.9942266932250653,-0.3612299125020919,-0.794273111645369,0.9933092592060477,-0.47141028735975565,-0.4888483549575118,0.995374542177229,-0.5210584030505561,-0.8187013956984319
2020_native,-0.47282323001452387,0.9211208145179848,0.12169439982919839,-0.5303440443587433,1.0,0.0738039915535812,-0.5046462929311128,0.9677932857349398,0.10475173556319661,-0.5029138861150837,0.9826867586393423,0.29590958325839467,-0.49309330659485306,0.8616560071250119,0.2844024375228287
2020_test,-0.8861434504803292,-0.08191442474260668,-0.27086927611674705,-0.794283365152624,0.0738039915535812,1.0,-0.8450836513884625,-0.10333134841044389,0.9588077920900413,-0.8484327359841832,0.05606087849674757,-0.011867391273728378,-0.8433758157072506,0.3487492152139059,0.957017498921583
2021_eu,0.9916454112385149,-0.3812456767185948,-0.08433021128281282,0.9942266932250653,-0.5046462929311128,-0.8450836513884625,1.0,-0.33457920358801174,-0.839894429579521,0.9995802817557428,-0.45369883155834945,-0.4042949244320435,0.9988542302588493,-0.5448757496211161,-0.8754456577334668
2021_native,-0.31217531136757826,0.8549164953697698,0.05710790321809789,-0.3612299125020919,0.9677932857349398,-0.10333134841044389,-0.33457920358801174,0.9999999999999998,-0.024354484512997487,-0.335259999799693,0.9813904016675955,0.23951892946169429,-0.32452875830400885,0.8069494492944996,0.13494161476857958
2021_test,-0.8933164921063887,-0.11186660886673705,-0.3045608449382049,-0.794273111645369,0.10475173556319661,0.9588077920900413,-0.839894429579521,-0.024354484512997487,1.0,-0.8493475573747666,0.12608861216261458,0.010747017154991712,-0.8465137982386493,0.36478962180911123,0.9324277434093587
2022_eu,0.9936677212319304,-0.37483997267761726,-0.07285454776695022,0.9933092592060477,-0.5029138861150837,-0.8484327359841832,0.9995802817557428,-0.335259999799693,-0.8493475573747666,1.0,-0.45662532007163437,-0.39258456702709843,0.9994181135492894,-0.5503304747935196,-0.8778171348787014
2022_native,-0.4416042120536292,0.8573076076231639,-0.00456120219087075,-0.47141028735975565,0.9826867586393423,0.05606087849674757,-0.45369883155834945,0.9813904016675955,0.12608861216261458,-0.45662532007163437,1.0,0.18035846793084565,-0.4453435889583597,0.8941994144022717,0.27832387780564993
2022_test,-0.2981912314557895,0.41970799730683694,0.8630664156172128,-0.4888483549575118,0.29590958325839467,-0.011867391273728378,-0.4042949244320435,0.23951892946169429,0.010747017154991712,-0.39258456702709843,0.18035846793084565,0.9999999999999999,-0.4130025087471514,-0.15217056478680813,-0.03505381355428239
2023_eu,0.990650408879899,-0.37287754588307065,-0.09931050332133928,0.995374542177229,-0.49309330659485306,-0.8433758157072506,0.9988542302588493,-0.32452875830400885,-0.8465137982386493,0.9994181135492894,-0.4453435889583597,-0.4130025087471514,1.0,-0.5315524510387744,-0.8655194743752035
2023_native,-0.572027621033071,0.6923054754286482,-0.3222736325742277,-0.5210584030505561,0.8616560071250119,0.3487492152139059,-0.5448757496211161,0.8069494492944996,0.36478962180911123,-0.5503304747935196,0.8941994144022717,-0.15217056478680813,-0.5315524510387744,1.0,0.5451756827672277
2023_test,-0.9216914971799994,0.06181371606088171,-0.3743543441422519,-0.8187013956984319,0.2844024375228287,0.957017498921583,-0.8754456577334668,0.13494161476857958,0.9324277434093587,-0.8778171348787014,0.27832387780564993,-0.03505381355428239,-0.8655194743752035,0.5451756827672277,1.0
