feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A00,0.1279420987345206,-0.05678473487675872,-0.32226420815664963,0.005368799115953187,-0.1412081809861131,0.07406394203554094,-0.15252682363283088,0.017300094317595556,0.1391676172781922,0.12074477016022477
A01,-0.1582889779601604,-0.046301465113816456,-0.08393437832859127,0.018799499859528744,0.22715103141094778,-0.005459529821538491,-0.17093090839126845,0.06788986269264363,-0.14845951687158404,0.16565768382585538
A02,-0.23127953839721413,-0.10199566809694045,0.19791841295722845,0.15691034856845665,-0.0984557929692962,0.04923542679998326,-0.06853099543461512,-0.2454150464726613,0.21988153083407594,-0.0059473261999159295
A03,-0.046228523895558364,-0.22310050457148584,0.07873001921645302,-0.03428323522558217,0.04776380587180379,0.1447896588161766,0.01997102276584322,0.016983480723771018,-0.054474716836931274,-0.044958068402643964
A04,0.23310643105611387,-0.07864383716118864,-0.12796938703711444,0.13910569417362884,0.06323794578877523,0.1538933341959484,-0.07158498334412083,0.12242599315501333,0.04423442180009352,-0.11423215243997094
A05,0.18080872997886865,-0.10139590664633949,-0.036896444672569584,0.11482887026461863,0.10326827309505808,0.06080313044596591,0.11016103958038104,0.09496500425951182,0.18125030101818068,0.09560023120209027
A06,0.019229284873916487,-0.05355416739346939,0.0392666279241763,0.07140875747433537,-0.13542863185121362,0.12346508041642683,-0.026454792500880925,0.007845603302565708,0.11382865106769363,-0.1047902740891265
A07,-0.1646035520749492,0.043282882931477654,-0.04043348525243182,-0.06640890513442411,-0.061430273185884336,0.2547205212848602,0.16968307178352224,0.01914453619984228,-0.0886647751830212,-0.00031982209112170273
A08,0.029746589570285538,-0.07273705928513546,0.0442054662011919,0.042998988668857326,-0.22970085936093992,-0.024266870035104502,-0.17864583967433037,0.10775823032825643,-0.27887353133781984,-0.052702137736236394
A09,-0.05059255553862844,0.13438105853980048,-0.03667317192765678,-0.07187583384774043,-0.13779366960514738,0.10733935750314991,0.07755497536647277,0.08137205731124285,-0.09471091068095129,-0.06002963479962609
A10,-0.04308530016007611,0.15479372283787643,-0.059191711463595295,-0.18419099376210565,-0.11938270311319789,-0.25147397880352207,-0.14709601401211006,0.0811037694711858,0.11688852604756358,0.06329491794560307
A11,-0.058591501401952115,-0.009134602870902082,0.11983132673762009,0.03171228210596754,-0.07093422049743855,0.15401784974732563,0.16127599223523964,0.04698452102807398,0.04810633294936281,0.11755383072884526
A12,-0.15002948658766785,0.18603599385471548,-0.08406684879923046,-0.006479991237970786,-0.02207985067647046,0.05410285677682583,-0.045942251859989416,0.0654289739478109,0.013866740177682182,0.2221556375014028
A13,-0.20294388931022903,0.013262642210438807,-0.11811506430612687,0.21788459860342918,-0.23177022013696746,-0.03750642184755607,0.0872360026916857,0.15149518240890347,-0.02977352769054295,-0.13548906919771966
A14,0.033074694958995725,0.04772304426298359,-0.019051945326227865,-0.14098812873926853,-0.017387558888100948,-0.06771787680901165,-0.07385454080935053,0.14762325176000948,0.08767994133741404,-0.07772753988382046
A15,0.011800022681529779,-0.025881325206436403,-0.19034420085949974,-0.022781649226291868,-0.13852988121195814,-0.14711012218907726,0.07299989795001767,0.006250333425202394,0.08308348848404364,-0.09627160355107871
A16,0.06671170763596147,0.07638511517329644,-0.05789812341325216,0.05203369140822745,0.09319196668947141,-0.055551614444008086,-0.16573322292385761,-0.3264931667364353,0.08677268936957018,0.18787499602425312
