rank,feature,loading,abs_loading
1,A31,0.2885062615418659,0.2885062615418659
2,A28,0.28062166979301245,0.28062166979301245
3,A04,0.23310643105611387,0.23310643105611387
4,A02,-0.23127953839721413,0.23127953839721413
5,A45,0.22513185550342252,0.22513185550342252
6,A42,0.21521597199423229,0.21521597199423229
7,A13,-0.20294388931022903,0.20294388931022903
8,A50,-0.19868418472360289,0.19868418472360289
9,A40,0.1964019875164555,0.1964019875164555
10,A44,-0.19354297650111682,0.19354297650111682
11,A32,0.18951330603362354,0.18951330603362354
12,A05,0.18080872997886865,0.18080872997886865
13,A61,-0.17991129471091064,0.17991129471091064
14,A20,0.1702867883774462,0.1702867883774462
15,A07,-0.1646035520749492,0.1646035520749492
16,A01,-0.1582889779601604,0.1582889779601604
17,A12,-0.15002948658766785,0.15002948658766785
18,A36,0.1484938212300577,0.1484938212300577
19,A23,0.14572568993934448,0.14572568993934448
20,A17,-0.14433622173599683,0.14433622173599683
21,A29,0.14406827954241372,0.14406827954241372
22,A51,0.14071196449202075,0.14071196449202075
23,A00,0.1279420987345206,0.1279420987345206
24,A33,0.12408270717792698,0.12408270717792698
25,A41,-0.11706580530494005,0.11706580530494005
26,A34,-0.11593588274394194,0.11593588274394194
27,A27,-0.11287750962044013,0.11287750962044013
28,A46,-0.10623048161725628,0.10623048161725628
29,A26,0.09537224846345539,0.09537224846345539
30,A60,0.08974011511176301,0.08974011511176301
